diag;n
  J33 - Nasal polyp;205     (0.03)
  O82 - Single delivery by caesarean section;204     (0.03)
  Z12 - Special screening examination for neoplasms;204     (0.03)
  D23 - Other benign neoplasms of skin;203     (0.03)
  O70 - Perineal laceration during delivery;201     (0.03)
  F40 - Phobic anxiety disorders;200     (0.03)
  I13 - Hypertensive heart and renal disease;200     (0.03)
  F11 - Mental and behavioural disorders due to use of opioids;199     (0.03)
  J93 - Pneumothorax;199     (0.03)
  M96 - Postprocedural musculoskeletal disorders, not elsewhere classified;198     (0.03)
  Y49 - Psychotropic drugs, not elsewhere classified;198     (0.03)
  I60 - Subarachnoid haemorrhage;197     (0.03)
  F68 - Other disorders of adult personality and behaviour;196     (0.03)
  C32 - Malignant neoplasm of larynx;195     (0.03)
  I36 - Nonrheumatic tricuspid valve disorders;195     (0.03)
  D32 - Benign neoplasm of meninges;194     (0.03)
  E27 - Other disorders of adrenal gland;194     (0.03)
  G41 - Status epilepticus;194     (0.03)
  G91 - Hydrocephalus;193     (0.03)
  S36 - Injury of intra-abdominal organs;193     (0.03)
  W10 - Fall on and from stairs and steps;192     (0.03)
  Z56 - Problems related to employment and unemployment;192     (0.03)
  R49 - Voice disturbances;191     (0.03)
  C80 - Malignant neoplasm, without specification of site;189     (0.03)
  L27 - Dermatitis due to substances taken internally;189     (0.03)
  Z21 - Asymptomatic human immunodeficiency virus [HIV] infection status;189     (0.03)
  E06 - Thyroiditis;188     (0.03)
  E07 - Other disorders of thyroid;188     (0.03)
  F51 - Nonorganic sleep disorders;188     (0.03)
  M94 - Other disorders of cartilage;187     (0.03)
  H11 - Other disorders of conjunctiva;185     (0.02)
  L60 - Nail disorders;185     (0.02)
  H43 - Disorders of vitreous body;184     (0.02)
  O68 - Labour and delivery complicated by fetal stress [distress];184     (0.02)
  M70 - Soft tissue disorders related to use, overuse and pressure;183     (0.02)
  R23 - Other skin changes;179     (0.02)
  S91 - Open wound of ankle and foot;179     (0.02)
  K61 - Abscess of anal and rectal regions;178     (0.02)
  C82 - Follicular lymphoma;177     (0.02)
  D86 - Sarcoidosis;177     (0.02)
  M53 - Other dorsopathies, not elsewhere classified;177     (0.02)
  S92 - Fracture of foot, except ankle;177     (0.02)
  M67 - Other disorders of synovium and tendon;176     (0.02)
  F44 - Dissociative [conversion] disorders;175     (0.02)
  F25 - Schizoaffective disorders;173     (0.02)
  O92 - Other disorders of breast and lactation associated with childbirth;173     (0.02)
  D01 - Carcinoma in situ of other and unspecified digestive organs;171     (0.02)
  J13 - Pneumonia due to Streptococcus pneumoniae;171     (0.02)
  L50 - Urticaria;171     (0.02)
  H04 - Disorders of lacrimal system;170     (0.02)
  D24 - Benign neoplasm of breast;169     (0.02)
  N19 - Unspecified kidney failure;169     (0.02)
  S64 - Injury of nerves at wrist and hand level;169     (0.02)
  J40 - Bronchitis, not specified as acute or chronic;168     (0.02)
  F12 - Mental and behavioural disorders due to use of cannabinoids;167     (0.02)
  A40 - Streptococcal sepsis;166     (0.02)
  H28 - Cataract and other disorders of lens in diseases classified elsewhere;166     (0.02)
  B48 - Other mycoses, not elsewhere classified;165     (0.02)
  C10 - Malignant neoplasm of oropharynx;165     (0.02)
  B02 - Zoster [herpes zoster];163     (0.02)
  D80 - Immunodeficiency with predominantly antibody defects;163     (0.02)
  O34 - Maternal care for known or suspected abnormality of pelvic organs;163     (0.02)
  X64 - Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances;163     (0.02)
  D53 - Other nutritional anaemias;162     (0.02)
  E65 - Localized adiposity;161     (0.02)
  F45 - Somatoform disorders;161     (0.02)
  H65 - Nonsuppurative otitis media;161     (0.02)
  I62 - Other nontraumatic intracranial haemorrhage;161     (0.02)
  K75 - Other inflammatory liver diseases;161     (0.02)
  D48 - Neoplasm of uncertain or unknown behaviour of other and unspecified sites;160     (0.02)
  L85 - Other epidermal thickening;160     (0.02)
  O99 - Other maternal diseases classifiable elsewhere but complicating pregnancy, childbirth and the puerperium;160     (0.02)
  S86 - Injury of muscle and tendon at lower leg level;158     (0.02)
  Z76 - Persons encountering health services in other circumstances;158     (0.02)
  I08 - Multiple valve diseases;157     (0.02)
  I97 - Postprocedural disorders of circulatory system, not elsewhere classified;157     (0.02)
  R35 - Polyuria;156     (0.02)
  S63 - Dislocation, sprain and strain of joints and ligaments at wrist and hand level;156     (0.02)
  M40 - Kyphosis and lordosis;155     (0.02)
  S51 - Open wound of forearm;154     (0.02)
  T65 - Toxic effect of other and unspecified substances;153     (0.02)
  K82 - Other diseases of gallbladder;152     (0.02)
  U88 - Agent resistant to multiple antibiotics;151     (0.02)
  D38 - Neoplasm of uncertain or unknown behaviour of middle ear and respiratory and intrathoracic organs;149     (0.02)
  K11 - Diseases of salivary glands;147     (0.02)
  A49 - Bacterial infection of unspecified site;146     (0.02)
  C21 - Malignant neoplasm of anus and anal canal;144     (0.02)
  M22 - Disorders of patella;144     (0.02)
  M49 - Spondylopathies in diseases classified elsewhere;144     (0.02)
  O24 - Diabetes mellitus in pregnancy;144     (0.02)
  F13 - Mental and behavioural disorders due to use of sedatives or hypnotics;143     (0.02)
  I05 - Rheumatic mitral valve diseases;143     (0.02)
  D21 - Other benign neoplasms of connective and other soft tissue;142     (0.02)
  G44 - Other headache syndromes;142     (0.02)
  R68 - Other general symptoms and signs;141     (0.02)
  T50 - Poisoning by diuretics and other and unspecified drugs, medicaments and biological substances;141     (0.02)
  Z31 - Procreative management;141     (0.02)
  M76 - Enthesopathies of lower limb, excluding foot;140     (0.02)
  N02 - Recurrent and persistent haematuria;139     (0.02)
  B90 - Sequelae of tuberculosis;135     (0.02)
  G12 - Spinal muscular atrophy and related syndromes;135     (0.02)
  Q61 - Cystic kidney disease;135     (0.02)
  I06 - Rheumatic aortic valve diseases;134     (0.02)
  C53 - Malignant neoplasm of cervix uteri;133     (0.02)
  D34 - Benign neoplasm of thyroid gland;133     (0.02)
  S93 - Dislocation, sprain and strain of joints and ligaments at ankle and foot level;133     (0.02)
  T87 - Complications peculiar to reattachment and amputation;133     (0.02)
  N48 - Other disorders of penis;132     (0.02)
  N97 - Female infertility;132     (0.02)
  I81 - Portal vein thrombosis;131     (0.02)
  B00 - Herpesviral [herpes simplex] infections;130     (0.02)
  F23 - Acute and transient psychotic disorders;130     (0.02)
  E23 - Hypofunction and other disorders of pituitary gland;129     (0.02)
  H10 - Conjunctivitis;128     (0.02)
  F19 - Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances;127     (0.02)
  J17 - Pneumonia in diseases classified elsewhere;127     (0.02)
  R48 - Dyslexia and other symbolic dysfunctions, not elsewhere classified;127     (0.02)
  A63 - Other predominantly sexually transmitted diseases, not elsewhere classified;126     (0.02)
  M46 - Other inflammatory spondylopathies;126     (0.02)
  S12 - Fracture of neck;126     (0.02)
  D22 - Melanocytic naevi;125     (0.02)
  L53 - Other erythematous conditions;125     (0.02)
  N50 - Other disorders of male genital organs;125     (0.02)
  O03 - Spontaneous abortion;125     (0.02)
  D18 - Haemangioma and lymphangioma, any site;124     (0.02)
  J30 - Vasomotor and allergic rhinitis;124     (0.02)
  N93 - Other abnormal uterine and vaginal bleeding;124     (0.02)
  E22 - Hyperfunction of pituitary gland;123     (0.02)
  C88 - Malignant immunoproliferative diseases;122     (0.02)
  I33 - Acute and subacute endocarditis;122     (0.02)
  M34 - Systemic sclerosis;121     (0.02)
  T86 - Failure and rejection of transplanted organs and tissues;121     (0.02)
  J01 - Acute sinusitis;120     (0.02)
  K07 - Dentofacial anomalies [including malocclusion];120     (0.02)
  N60 - Benign mammary dysplasia;120     (0.02)
  O36 - Maternal care for other known or suspected fetal problems;120     (0.02)
  G21 - Secondary parkinsonism;119     (0.02)
  K05 - Gingivitis and periodontal diseases;119     (0.02)
  S05 - Injury of eye and orbit;119     (0.02)
  Y57 - Other and unspecified drugs and medicaments;119     (0.02)
  R14 - Flatulence and related conditions;118     (0.02)
  S50 - Superficial injury of forearm;118     (0.02)
  Z44 - Fitting and adjustment of external prosthetic device;117     (0.02)
  R21 - Rash and other nonspecific skin eruption;116     (0.02)
  C49 - Malignant neoplasm of other connective and soft tissue;114     (0.02)
  B44 - Aspergillosis;112     (0.02)
  Z02 - Examination and encounter for administrative purposes;112     (0.02)
  D26 - Other benign neoplasms of uterus;111     (0.01)
  D45 - Polycythaemia vera;110     (0.01)
  M90 - Osteopathies in diseases classified elsewhere;110     (0.01)
  W06 - Fall involving bed;110     (0.01)
  N04 - Nephrotic syndrome;108     (0.01)
  O69 - Labour and delivery complicated by umbilical cord complications;108     (0.01)
  Y47 - Sedatives, hypnotics and antianxiety drugs;108     (0.01)
  B35 - Dermatophytosis;107     (0.01)
  D30 - Benign neoplasm of urinary organs;107     (0.01)
  J46 - Status asthmaticus;107     (0.01)
  L57 - Skin changes due to chronic exposure to nonionizing radiation;107     (0.01)
  M85 - Other disorders of bone density and structure;107     (0.01)
  M18 - Arthrosis of first carpometacarpal joint;106     (0.01)
  M32 - Systemic lupus erythematosus;106     (0.01)
  C24 - Malignant neoplasm of other and unspecified parts of biliary tract;105     (0.01)
  D59 - Acquired haemolytic anaemia;104     (0.01)
  K27 - Peptic ulcer, site unspecified;104     (0.01)
  C09 - Malignant neoplasm of tonsil;103     (0.01)
  G61 - Inflammatory polyneuropathy;103     (0.01)
  K23 - Disorders of oesophagus in diseases classified elsewhere;103     (0.01)
  L23 - Allergic contact dermatitis;103     (0.01)
  S68 - Traumatic amputation of wrist and hand;103     (0.01)
  B23 - Human immunodeficiency virus [HIV] disease resulting in other conditions;102     (0.01)
  F92 - Mixed disorders of conduct and emotions;102     (0.01)
  G54 - Nerve root and plexus disorders;102     (0.01)
  H16 - Keratitis;102     (0.01)
  J94 - Other pleural conditions;102     (0.01)
  Q40 - Other congenital malformations of upper alimentary tract;101     (0.01)
  D04 - Carcinoma in situ of skin;100     (0.01)
  D89 - Other disorders involving the immune mechanism, not elsewhere classified;100     (0.01)
  F28 - Other nonorganic psychotic disorders;100     (0.01)
  N45 - Orchitis and epididymitis;99     (0.01)
  D44 - Neoplasm of uncertain or unknown behaviour of endocrine glands;98     (0.01)
  K13 - Other diseases of lip and oral mucosa;98     (0.01)
  S37 - Injury of urinary and pelvic organs;98     (0.01)
  U80 - Agent resistant to penicillin and related antibiotics;97     (0.01)
  D33 - Benign neoplasm of brain and other parts of central nervous system;96     (0.01)
  F71 - Moderate mental retardation;96     (0.01)
  N73 - Other female pelvic inflammatory diseases;96     (0.01)
  F79 - Unspecified mental retardation;95     (0.01)
  G60 - Hereditary and idiopathic neuropathy;95     (0.01)
  T68 - Hypothermia;95     (0.01)
  D75 - Other diseases of blood and blood-forming organs;94     (0.01)
  H93 - Other disorders of ear, not elsewhere classified;94     (0.01)
  J39 - Other diseases of upper respiratory tract;93     (0.01)
  M07 - Psoriatic and enteropathic arthropathies;93     (0.01)
  T17 - Foreign body in respiratory tract;93     (0.01)
  Y60 - Unintentional cut, puncture, perforation or haemorrhage during surgical and medical care;93     (0.01)
  F99 - Mental disorder, not otherwise specified;92     (0.01)
  T18 - Foreign body in alimentary tract;92     (0.01)
  G11 - Hereditary ataxia;91     (0.01)
  R90 - Abnormal findings on diagnostic imaging of central nervous system;91     (0.01)
  K90 - Intestinal malabsorption;90     (0.01)
  L82 - Seborrhoeic keratosis;90     (0.01)
  N75 - Diseases of Bartholin gland;90     (0.01)
  D11 - Benign neoplasm of major salivary glands;89     (0.01)
  G71 - Primary disorders of muscles;89     (0.01)
  H61 - Other disorders of external ear;89     (0.01)
  K41 - Femoral hernia;89     (0.01)
  O42 - Premature rupture of membranes;89     (0.01)
  Y51 - Drugs primarily affecting the autonomic nervous system;89     (0.01)
  C17 - Malignant neoplasm of small intestine;88     (0.01)
  F30 - Manic episode;88     (0.01)
  H18 - Other disorders of cornea;88     (0.01)
  C02 - Malignant neoplasm of other and unspecified parts of tongue;87     (0.01)
  D73 - Diseases of spleen;87     (0.01)
  N76 - Other inflammation of vagina and vulva;87     (0.01)
  D09 - Carcinoma in situ of other and unspecified sites;86     (0.01)
  D84 - Other immunodeficiencies;86     (0.01)
  Q21 - Congenital malformations of cardiac septa;86     (0.01)
  T66 - Unspecified effects of radiation;86     (0.01)
  Z81 - Family history of mental and behavioural disorders;86     (0.01)
  C12 - Malignant neoplasm of piriform sinus;85     (0.01)
  D16 - Benign neoplasm of bone and articular cartilage;85     (0.01)
  J85 - Abscess of lung and mediastinum;85     (0.01)
  D14 - Benign neoplasm of middle ear and respiratory system;84     (0.01)
  F70 - Mild mental retardation;84     (0.01)
  J86 - Pyothorax;84     (0.01)
  E54 - Ascorbic acid deficiency;83     (0.01)
  A08 - Viral and other specified intestinal infections;82     (0.01)
  C01 - Malignant neoplasm of base of tongue;82     (0.01)
  C48 - Malignant neoplasm of retroperitoneum and peritoneum;82     (0.01)
  D36 - Benign neoplasm of other and unspecified sites;82     (0.01)
  E56 - Other vitamin deficiencies;82     (0.01)
  M60 - Myositis;82     (0.01)
  T40 - Poisoning by narcotics and psychodysleptics [hallucinogens];82     (0.01)
  J35 - Chronic diseases of tonsils and adenoids;81     (0.01)
  G90 - Disorders of autonomic nervous system;80     (0.01)
  R58 - Haemorrhage, not elsewhere classified;80     (0.01)
  B17 - Other acute viral hepatitis;79     (0.01)
  G50 - Disorders of trigeminal nerve;78     (0.01)
  T39 - Poisoning by nonopioid analgesics, antipyretics and antirheumatics;78     (0.01)
  H71 - Cholesteatoma of middle ear;77     (0.01)
  I07 - Rheumatic tricuspid valve diseases;77     (0.01)
  J92 - Pleural plaque;76     (0.01)
  S60 - Superficial injury of wrist and hand;76     (0.01)
  H44 - Disorders of globe;75     (0.01)
  N42 - Other disorders of prostate;75     (0.01)
  N64 - Other disorders of breast;75     (0.01)
  N77 - Vulvovaginal ulceration and inflammation in diseases classified elsewhere;75     (0.01)
  R80 - Isolated proteinuria;75     (0.01)
  Y91 - Evidence of alcohol involvement determined by level of intoxication;75     (0.01)
  S09 - Other and unspecified injuries of head;74     (0.01)
  S31 - Open wound of abdomen, lower back and pelvis;74     (0.01)
  C81 - Hodgkin lymphoma;73     (0.01)
  D43 - Neoplasm of uncertain or unknown behaviour of brain and central nervous system;73     (0.01)
  H72 - Perforation of tympanic membrane;73     (0.01)
  L12 - Pemphigoid;73     (0.01)
  N70 - Salpingitis and oophoritis;73     (0.01)
  D10 - Benign neoplasm of mouth and pharynx;72     (0.01)
  D65 - Disseminated intravascular coagulation [defibrination syndrome];72     (0.01)
  K03 - Other diseases of hard tissues of teeth;72     (0.01)
  L05 - Pilonidal cyst;72     (0.01)
  N72 - Inflammatory disease of cervix uteri;72     (0.01)
  T14 - Injury of unspecified body region;72     (0.01)
  C04 - Malignant neoplasm of floor of mouth;71     (0.01)
  R22 - Localized swelling, mass and lump of skin and subcutaneous tissue;71     (0.01)
  G97 - Postprocedural disorders of nervous system, not elsewhere classified;70     (0.01)
  J14 - Pneumonia due to Haemophilus influenzae;70     (0.01)
  R82 - Other abnormal findings in urine;70     (0.01)
  S39 - Other and unspecified injuries of abdomen, lower back and pelvis;70     (0.01)
  C45 - Mesothelioma;69     (0.01)
  R01 - Cardiac murmurs and other cardiac sounds;69     (0.01)
  W11 - Fall on and from ladder;69     (0.01)
  Y96 - Work-related condition;69     (0.01)
  D06 - Carcinoma in situ of cervix uteri;68     (0.01)
  E85 - Amyloidosis;68     (0.01)
  G80 - Cerebral palsy;68     (0.01)
  N90 - Other noninflammatory disorders of vulva and perineum;68     (0.01)
  T90 - Sequelae of injuries of head;68     (0.01)
  X65 - Intentional self-poisoning by and exposure to alcohol;68     (0.01)
  O60 - Preterm labour and delivery;67     (0.01)
  S90 - Superficial injury of ankle and foot;67     (0.01)
  G37 - Other demyelinating diseases of central nervous system;66     (0.01)
  H34 - Retinal vascular occlusions;66     (0.01)
  M93 - Other osteochondropathies;66     (0.01)
  S13 - Dislocation, sprain and strain of joints and ligaments at neck level;66     (0.01)
  Y46 - Antiepileptics and antiparkinsonism drugs;66     (0.01)
  C13 - Malignant neoplasm of hypopharynx;65     (0.01)
  G04 - Encephalitis, myelitis and encephalomyelitis;65     (0.01)
  J31 - Chronic rhinitis, nasopharyngitis and pharyngitis;65     (0.01)
  M66 - Spontaneous rupture of synovium and tendon;65     (0.01)
  Z84 - Family history of other conditions;65     (0.01)
  B20 - Human immunodeficiency virus [HIV] disease resulting in infectious and parasitic diseases;64     (0.01)
  F42 - Obsessive-compulsive disorder;64     (0.01)
  H57 - Other disorders of eye and adnexa;64     (0.01)
  S53 - Dislocation, sprain and strain of joints and ligaments of elbow;64     (0.01)
  S73 - Dislocation, sprain and strain of joint and ligaments of hip;64     (0.01)
  T93 - Sequelae of injuries of lower limb;64     (0.01)
  W17 - Other fall from one level to another;64     (0.01)
  A48 - Other bacterial diseases, not elsewhere classified;63     (0.01)
  S76 - Injury of muscle and tendon at hip and thigh level;63     (0.01)
  C38 - Malignant neoplasm of heart, mediastinum and pleura;62     (0.01)
  H49 - Paralytic strabismus;62     (0.01)
  J00 - Acute nasopharyngitis [common cold];62     (0.01)
  N36 - Other disorders of urethra;62     (0.01)
  R78 - Findings of drugs and other substances, not normally found in blood;62     (0.01)
  H80 - Otosclerosis;61     (0.01)
  N82 - Fistulae involving female genital tract;61     (0.01)
  N94 - Pain and other conditions associated with female genital organs and menstrual cycle;61     (0.01)
  S65 - Injury of blood vessels at wrist and hand level;61     (0.01)
  T46 - Poisoning by agents primarily affecting the cardiovascular system;61     (0.01)
  T51 - Toxic effect of alcohol;61     (0.01)
  X78 - Intentional self-harm by sharp object;61     (0.01)
  X84 - Intentional self-harm by unspecified means;61     (0.01)
  D39 - Neoplasm of uncertain or unknown behaviour of female genital organs;60     (0.01)
  H50 - Other strabismus;60     (0.01)
  N61 - Inflammatory disorders of breast;60     (0.01)
  O75 - Other complications of labour and delivery, not elsewhere classified;60     (0.01)
  B91 - Sequelae of poliomyelitis;59     (0.01)
  C41 - Malignant neoplasm of bone and articular cartilage of other and unspecified sites;59     (0.01)
  I86 - Varicose veins of other sites;59     (0.01)
  L20 - Atopic dermatitis;59     (0.01)
  L93 - Lupus erythematosus;59     (0.01)
  H52 - Disorders of refraction and accommodation;58     (0.01)
  N12 - Tubulo-interstitial nephritis, not specified as acute or chronic;58     (0.01)
  N88 - Other noninflammatory disorders of cervix uteri;58     (0.01)
  I78 - Diseases of capillaries;57     (0.01)
  J11 - Influenza, virus not identified;57     (0.01)
  M33 - Dermatopolymyositis;57     (0.01)
  T92 - Sequelae of injuries of upper limb;57     (0.01)
  Z40 - Prophylactic surgery;57     (0.01)
  G70 - Myasthenia gravis and other myoneural disorders;56     (0.01)
  G92 - Toxic encephalopathy;56     (0.01)
  H27 - Other disorders of lens;56     (0.01)
  M14 - Arthropathies in other diseases classified elsewhere;56     (0.01)
  I66 - Occlusion and stenosis of cerebral arteries, not resulting in cerebral infarction;55     (0.01)
  J99 - Respiratory disorders in diseases classified elsewhere;54     (0.01)
  M12 - Other specific arthropathies;54     (0.01)
  S69 - Other and unspecified injuries of wrist and hand;54     (0.01)
  V89 - Motor- or nonmotor-vehicle accident, type of vehicle unspecified;54     (0.01)
  G23 - Other degenerative diseases of basal ganglia;53     (0.01)
  J61 - Pneumoconiosis due to asbestos and other mineral fibres;53     (0.01)
  K09 - Cysts of oral region, not elsewhere classified;53     (0.01)
  Z52 - Donors of organs and tissues;53     (0.01)
  A16 - Respiratory tuberculosis, not confirmed bacteriologically or histologically;52     (0.01)
  O81 - Single delivery by forceps and vacuum extractor;52     (0.01)
  A15 - Respiratory tuberculosis, bacteriologically and histologically confirmed;51     (0.01)
  B97 - Viral agents as the cause of diseases classified to other chapters;51     (0.01)
  C14 - Malignant neoplasm of other and ill-defined sites in the lip, oral cavity and pharynx;51     (0.01)
  D57 - Sickle-cell disorders;51     (0.01)
  H47 - Other disorders of optic [2nd] nerve and visual pathways;51     (0.01)
  K10 - Other diseases of jaws;51     (0.01)
  I38 - Endocarditis, valve unspecified;50     (0.01)
  L73 - Other follicular disorders;50     (0.01)
  L91 - Hypertrophic disorders of skin;50     (0.01)
  S41 - Open wound of shoulder and upper arm;50     (0.01)
  E12 - Malnutrition-related diabetes mellitus;49     (0.01)
  G52 - Disorders of other cranial nerves;49     (0.01)
  H92 - Otalgia and effusion of ear;49     (0.01)
  O62 - Abnormalities of forces of labour;49     (0.01)
  B25 - Cytomegaloviral disease;48     (0.01)
  D07 - Carcinoma in situ of other and unspecified genital organs;48     (0.01)
  F48 - Other neurotic disorders;48     (0.01)
  O63 - Long labour;48     (0.01)
  C55 - Malignant neoplasm of uterus, part unspecified;47     (0.01)
  E41 - Nutritional marasmus;47     (0.01)
  F14 - Mental and behavioural disorders due to use of cocaine;47     (0.01)
  G96 - Other disorders of central nervous system;47     (0.01)
  J70 - Respiratory conditions due to other external agents;47     (0.01)
  K06 - Other disorders of gingiva and edentulous alveolar ridge;47     (0.01)
  K45 - Other abdominal hernia;47     (0.01)
  L94 - Other localized connective tissue disorders;47     (0.01)
  W29 - Contact with other powered hand tools and household machinery;47     (0.01)
  X44 - Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances;47     (0.01)
  Z61 - Problems related to negative life events in childhood;47     (0.01)
  H60 - Otitis externa;46     (0.01)
  J12 - Viral pneumonia, not elsewhere classified;46     (0.01)
  N03 - Chronic nephritic syndrome;46     (0.01)
  N14 - Drug- and heavy-metal-induced tubulo-interstitial and tubular conditions;46     (0.01)
  N49 - Inflammatory disorders of male genital organs, not elsewhere classified;46     (0.01)
  S56 - Injury of muscle and tendon at forearm level;46     (0.01)
  A92 - Other mosquito-borne viral fevers;45     (0.01)
  C66 - Malignant neoplasm of ureter;45     (0.01)
  C84 - Mature T/NK-cell lymphomas;45     (0.01)
  C95 - Leukaemia of unspecified cell type;45     (0.01)
  D56 - Thalassaemia;45     (0.01)
  F84 - Pervasive developmental disorders;45     (0.01)
  I40 - Acute myocarditis;45     (0.01)
  J16 - Pneumonia due to other infectious organisms, not elsewhere classified;45     (0.01)
  T00 - Superficial injuries involving multiple body regions;45     (0.01)
  X60 - Intentional self-poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics;45     (0.01)
  Y41 - Other systemic anti-infectives and antiparasitics;45     (0.01)
  B07 - Viral warts;44     (0.01)
  E63 - Other nutritional deficiencies;44     (0.01)
  F39 - Unspecified mood [affective] disorder;44     (0.01)
  F72 - Severe mental retardation;44     (0.01)
  I68 - Cerebrovascular disorders in diseases classified elsewhere;44     (0.01)
  Q28 - Other congenital malformations of circulatory system;44     (0.01)
  S10 - Superficial injury of neck;44     (0.01)
  D60 - Acquired pure red cell aplasia [erythroblastopenia];43     (0.01)
  M95 - Other acquired deformities of musculoskeletal system and connective tissue;43     (0.01)
  O32 - Maternal care for known or suspected malpresentation of fetus;43     (0.01)
  Q23 - Congenital malformations of aortic and mitral valves;43     (0.01)
  Q90 - Down syndrome;43     (0.01)
  T38 - Poisoning by hormones and their synthetic substitutes and antagonists, not elsewhere classified;43     (0.01)
  B34 - Viral infection of unspecified site;42     (0.01)
  C07 - Malignant neoplasm of parotid gland;42     (0.01)
  F90 - Hyperkinetic disorders;42     (0.01)
  J60 - Coalworker pneumoconiosis;42     (0.01)
  O26 - Maternal care for other conditions predominantly related to pregnancy;42     (0.01)
  Z58 - Problems related to physical environment;42     (0.01)
  F91 - Conduct disorders;41     (0.01)
  H20 - Iridocyclitis;41     (0.01)
  J10 - Influenza due to other identified influenza virus;41     (0.01)
  J36 - Peritonsillar abscess;41     (0.01)
  K28 - Gastrojejunal ulcer;41     (0.01)
  M88 - Paget disease of bone [osteitis deformans];41     (0.01)
  N25 - Disorders resulting from impaired renal tubular function;41     (0.01)
  Q66 - Congenital deformities of feet;41     (0.01)
  S14 - Injury of nerves and spinal cord at neck level;41     (0.01)
  B49 - Unspecified mycosis;40     (0.01)
  C69 - Malignant neoplasm of eye and adnexa;40     (0.01)
  C93 - Monocytic leukaemia;40     (0.01)
  D00 - Carcinoma in situ of oral cavity, oesophagus and stomach;40     (0.01)
  G03 - Meningitis due to other and unspecified causes;40     (0.01)
  J02 - Acute pharyngitis;40     (0.01)
  J04 - Acute laryngitis and tracheitis;40     (0.01)
  L13 - Other bullous disorders;40     (0.01)
  O23 - Infections of genitourinary tract in pregnancy;40     (0.01)
  O35 - Maternal care for known or suspected fetal abnormality and damage;40     (0.01)
  O47 - False labour;40     (0.01)
  A69 - Other spirochaetal infections;39     (0.01)
  C70 - Malignant neoplasm of meninges;39     (0.01)
  F61 - Mixed and other personality disorders;39     (0.01)
  G72 - Other myopathies;39     (0.01)
  L95 - Vasculitis limited to skin, not elsewhere classified;39     (0.01)
  S35 - Injury of blood vessels at abdomen, lower back and pelvis level;39     (0.01)
  C65 - Malignant neoplasm of renal pelvis;38     (0.01)
  D40 - Neoplasm of uncertain or unknown behaviour of male genital organs;38     (0.01)
  G58 - Other mononeuropathies;38     (0.01)
  L21 - Seborrhoeic dermatitis;38     (0.01)
  S96 - Injury of muscle and tendon at ankle and foot level;38     (0.01)
  T58 - Toxic effect of carbon monoxide;38     (0.01)
  T91 - Sequelae of injuries of neck and trunk;38     (0.01)
  W07 - Fall involving chair;38     (0.01)
  B86 - Scabies;37     (0.00)
  C06 - Malignant neoplasm of other and unspecified parts of mouth;37     (0.00)
  C23 - Malignant neoplasm of gallbladder;37     (0.00)
  N15 - Other renal tubulo-interstitial diseases;37     (0.00)
  Z57 - Occupational exposure to risk-factors;37     (0.00)
  C51 - Malignant neoplasm of vulva;36     (0.00)
  G53 - Cranial nerve disorders in diseases classified elsewhere;36     (0.00)
  K73 - Chronic hepatitis, not elsewhere classified;36     (0.00)
  L28 - Lichen simplex chronicus and prurigo;36     (0.00)
  N89 - Other noninflammatory disorders of vagina;36     (0.00)
  O02 - Other abnormal products of conception;36     (0.00)
  O87 - Venous complications in the puerperium;36     (0.00)
  C05 - Malignant neoplasm of palate;35     (0.00)
  C76 - Malignant neoplasm of other and ill-defined sites;35     (0.00)
  E24 - Cushing syndrome;35     (0.00)
  E80 - Disorders of porphyrin and bilirubin metabolism;35     (0.00)
  H00 - Hordeolum and chalazion;35     (0.00)
  I23 - Certain current complications following acute myocardial infarction;35     (0.00)
  J09 - Influenza due to certain identified influenza virus;35     (0.00)
  J62 - Pneumoconiosis due to dust containing silica;35     (0.00)
  Q24 - Other congenital malformations of heart;35     (0.00)
  T63 - Toxic effect of contact with venomous animals;35     (0.00)
  E51 - Thiamine deficiency;34     (0.00)
  H46 - Optic neuritis;34     (0.00)
  I22 - Subsequent myocardial infarction;34     (0.00)
  I43 - Cardiomyopathy in diseases classified elsewhere;34     (0.00)
  L84 - Corns and callosities;34     (0.00)
  N16 - Renal tubulo-interstitial disorders in diseases classified elsewhere;34     (0.00)
  O41 - Other disorders of amniotic fluid and membranes;34     (0.00)
  O72 - Postpartum haemorrhage;34     (0.00)
  R61 - Hyperhidrosis;34     (0.00)
  R76 - Other abnormal immunological findings in serum;34     (0.00)
  S67 - Crushing injury of wrist and hand;34     (0.00)
  Y56 - Topical agents primarily affecting skin and mucous membrane and ophthalmological, otorhinolaryngological and dental drugs;34     (0.00)
  C11 - Malignant neoplasm of nasopharynx;33     (0.00)
  D42 - Neoplasm of uncertain or unknown behaviour of meninges;33     (0.00)
  F38 - Other mood [affective] disorders;33     (0.00)
  G00 - Bacterial meningitis, not elsewhere classified;33     (0.00)
  O28 - Abnormal findings on antenatal screening of mother;33     (0.00)
  Y04 - Assault by bodily force;33     (0.00)
  Z20 - Contact with and exposure to communicable diseases;33     (0.00)
  A02 - Other salmonella infections;32     (0.00)
  D02 - Carcinoma in situ of middle ear and respiratory system;32     (0.00)
